verbs,words,metric
"[{'verb': 'чагылышы', 'description': {'V': 'чагылышы', 'Arg(субъект ментального состояния)': 'ул', 'Arg(субъект восприятия)': 'ул', 'Arg(эталон)': 'ул', 'Arg(стимул)': 'һәм'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(стимул)', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(стимул)', 'O', 'O', 'Arg(стимул)', 'O', 'V', 'O', 'O']}]","['Ул,', 'бу', 'мәңге', 'борчыла,', 'мәшәкатьле,', 'һәм', 'ул', 'аны', 'нәрсә', 'дип', 'саный,', 'Долли,', 'һаман', 'да', 'кулындагы', 'нота', 'белән', 'утырды', 'һәм', 'аңа', 'өметсезлек', 'һәм', 'ачу', 'чагылышы', 'белән', 'карады']",0.83
"[{'verb': '', 'description': {'Arg(тема)': 'Аркадьичны', 'Arg(эталон)': 'Аркадьичны', 'Arg(причина)': 'бу'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(тема)', 'Arg(причина)', 'O', 'O', 'O', 'O', 'O', 'Arg(причина)', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Шул', 'ук', 'вакытта,', 'еш', 'булганча,', 'Степан', 'Аркадьичны', 'бу', 'вакыйга', 'түгел,', 'ә', 'ул', 'хатынының', 'бу', 'сүзләренә', 'ничек', 'җавап', 'биргәне', 'өчен', 'җәфалады']",0.6
"[{'verb': 'була', 'description': {'V': 'була', 'Arg(тема)': 'нәрсә', 'Arg(агенс)': 'кешеләр'}, 'tags': ['O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'Arg(тема)', 'V']}]","['Бу', 'минутта', 'аның', 'белән', 'кешеләр', 'көтмәгәндә', 'артык', 'оятка', 'калгач', 'нәрсә', 'була']",0.5
"[{'verb': 'ачылганнан', 'description': {'V': 'ачылганнан'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O']}]","['Ул', 'үз', 'йөзен', 'хатыны', 'алдында', 'гаебе', 'ачылганнан', 'соң', 'ясаган', 'хәленә', 'әзерли', 'алмады']",0.2
"[{'verb': 'эшләгәненнән', 'description': {'V': 'эшләгәненнән', 'Arg(агенс)': '-'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'дип', 'description': {'V': 'дип'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Рәнҗетү,', 'кире', 'кагу,', 'аклану,', 'гафу', 'үтенү,', 'хәтта', 'ваемсыз', 'булу', 'урынына', '-', 'барысы', 'да', 'аның', 'эшләгәненнән', 'яхшырак', 'булыр', 'иде!–', 'аның', 'йөзе', 'бөтенләй', 'ихтыярсыз', '(«баш', 'мие', 'рефлекслары»,', '-', 'дип', 'уйлады', 'физиологияне', 'яраткан', 'Степан', 'Аркадьич),', 'ирексездән', 'ул', 'гади,', 'игелекле', 'һәм', 'шуңа', 'күрә', 'ахмак', 'елмаеп', 'елмаеп', 'җибәрде']",0.58
"[{'verb': 'алмады', 'description': {'V': 'алмады', 'Arg(субъект ментального состояния)': 'ул'}, 'tags': ['O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'V']}]","['Бу', 'акылсыз', 'елмаю', 'ул', 'үзен', 'кичерә', 'алмады']",1.0
"[{'verb': 'башланды', 'description': {'V': 'башланды'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O']}]","['Бу', 'елмаюны', 'күреп,', 'Долли', 'физик', 'авыртудан', 'калтырады,', 'аңа', 'хас', 'булган', 'кайнар', 'сүзләр,', 'рәхимсез', 'сүзләр', 'белән', 'башланды', 'һәм', 'бүлмәдән', 'чыгып', 'китте']",0.33
"[{'verb': 'теләмәде', 'description': {'V': 'теләмәде', 'Arg(субъект психологического состояния)': 'ул'}, 'tags': ['O', 'O', 'O', 'Arg(субъект психологического состояния)', 'O', 'O', 'V']}]","['Шул', 'вакыттан', 'бирле', 'ул', 'ирен', 'күрергә', 'теләмәде']",1.0
"[{'verb': 'алмады', 'description': {'V': 'алмады', 'Arg(пациенс)': 'үзен'}, 'tags': ['O', 'Arg(пациенс)', 'O', 'V', 'O', 'Arg(пациенс)', 'O', 'O', 'O', 'O', 'O', 'V']}]","['Ул', 'үзен', 'алдата', 'алмады', 'һәм', 'үзен', 'кылган', 'эшендә', 'тәүбә', 'итүенә', 'ышандыра', 'алмады']",0.5
"[{'verb': 'алмаган', 'description': {'V': 'алмаган', 'Arg(субъект ментального состояния)': 'Ул'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O', 'V']}]","['Алты', 'ел', 'элек', 'беренче', 'хатынына', 'тугрылыксызлык', 'кылгач,', 'Ул', 'тәүбә', 'иткәндә', 'тәүбә', 'итә', 'алмаган']",1.0
"[{'verb': 'гашыйк', 'description': {'V': 'гашыйк', 'Arg(субъект ментального состояния)': 'аннан', 'Arg(причина)': 'хатынына'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'V', 'O', 'Arg(причина)', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Ул,', 'утыз', 'дүрт', 'яшьлек,', 'чибәр,', 'гашыйк', 'кеше,', 'хатынына', 'гашыйк', 'булмаганга,', 'биш', 'тере', 'һәм', 'ике', 'үлгән', 'бала', 'анасы,', 'аннан', 'бер', 'яшькә', 'кечерәк', 'булуына', 'үкенә', 'алмады']",1.0
"[{'verb': 'сизде', 'description': {'V': 'сизде'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Ләкин', 'ул', 'үз', 'хәленең', 'бөтен', 'авырлыгын', 'сизде', 'һәм', 'хатынын,', 'балаларын', 'һәм', 'үзен', 'кызганды']",0.33
"[{'verb': '', 'description': {'Arg(агенс)': 'аңа'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Ул,', 'бәлки,', 'үз', 'гөнаһларын', 'хатыныннан', 'яшерер', 'иде', 'һәм', 'бу', 'хәбәрнең', 'аңа', 'тәэсир', 'итәчәген', 'көтсә,', 'яхшырак', 'булыр', 'иде']",0.33
"[{'verb': 'аша', 'description': {'V': 'аша', 'Arg(субъект ментального состояния)': 'ләкин', 'Arg(эталон)': 'аңа', 'Arg(стимул)': 'ләкин', 'Arg(субъект восприятия)': 'ләкин'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'Arg(эталон)', 'O', 'Arg(эталон)', 'O', 'O', 'O', 'O', 'O', 'Arg(эталон)', 'O', 'V', 'O']}]","['Аңлашыла,', 'ул', 'бу', 'сорауны', 'беркайчан', 'да', 'уйламаган,', 'ләкин', 'аңа', 'хатыны', 'аңа', 'тугры', 'түгел', 'дип', 'уйлаган', 'һәм', 'аңа', 'бармаклар', 'аша', 'карый']",0.83
"[{'verb': '', 'description': {'Arg(содержание мысли)': 'гына'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(содержание мысли)', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Аңа', 'хәтта', 'ул,', 'арыган,', 'картайган,', 'ямьсез', 'хатын,', 'һәм', 'бернәрсә', 'дә', 'искиткеч', 'түгел,', 'гади,', 'гадел', 'ана', 'гына', 'гаделлек', 'хисе', 'кичерергә', 'тиеш', 'кебек', 'тоелды']",0.33
"[{'verb': 'ничек', 'description': {'V': 'ничек', 'Arg(тема)': 'яхшы'}, 'tags': ['V', 'O', 'O', 'O', 'O', 'O', 'Arg(тема)', 'O', 'O', 'V', 'Arg(тема)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'комачауламадым,', 'description': {'V': 'комачауламадым,', 'Arg(агенс)': 'бәхетле', 'Arg(субъект психологического состояния)': 'яхшы'}, 'tags': ['V', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект психологического состояния)', 'O', 'O', 'O', 'Arg(субъект психологического состояния)', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['-', 'Моңа', 'кадәр', 'боларның', 'барысы', 'да', 'яхшы', 'иде,', 'без', 'ничек', 'яхшы', 'яшәдек!', 'Ул', 'канәгать,', 'балалар', 'белән', 'бәхетле', 'иде,', 'мин', 'аңа', 'бернәрсә', 'дә', 'комачауламадым,', 'балалар', 'белән,', 'теләгән', 'хуҗалык', 'белән', 'уйланырга', 'рөхсәт', 'иттем']",0.88
"[{'verb': 'онытырга', 'description': {'V': 'онытырга', 'Arg(содержание мысли)': 'ихтыяҗларын'}, 'tags': ['O', 'O', 'O', 'O', 'Arg(содержание мысли)', 'O', 'O', 'V', 'O']}]","['Бу', 'сорауга', 'җавап:', 'көннең', 'ихтыяҗларын', 'яшәргә,', 'ягъни', 'онытырга', 'кирәк']",1.0
"[{'verb': 'онытылырга', 'description': {'V': 'онытылырга', 'Arg(конечная точка)': 'музыкага'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(конечная точка)', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O']}]","['Йокларга', 'инде', 'онытырга', 'ярамый,', 'һәрхәлдә', 'төнгә', 'кадәр', 'графинчикиженица', 'җырлаган', 'музыкага', 'әйләнеп', 'кайтырга', 'ярамый;', 'тормыш', 'йокысы', 'белән', 'онытылырга', 'кирәк']",0.4
"[{'verb': '', 'description': {'Arg(эталон)': 'кисточкаларын', 'Arg(конечная точка)': 'җиңел'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(эталон)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(конечная точка)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['»', 'Анда', 'күренеп', 'торачак"",–', 'диде', 'Степан', 'Аркадьич', 'һәм,', 'торып,', 'зәңгәр', 'халәк', 'подкладкасында', 'соры', 'халат', 'кигән,', 'кисточкаларын', 'төен', 'белән', 'закгыткан', 'һәм,', 'аның', 'киң', 'күкрәк', 'тартмасына', 'һаваны', 'алып,', 'өске', 'гәүдәсен', 'шулай', 'җиңел', 'кигән,', 'тәрәзә', 'янына', 'килеп,', 'якны', 'күтәреп,', 'кычкырып', 'шалтыратты']",0.33
"[{'verb': 'керде', 'description': {'V': 'керде'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V']}]","['Матвей', 'артыннан', 'кырыну', 'өчен', 'кирәк-яраклар', 'салынган', 'цирюльник', 'та', 'керде']",0.5
"[{'verb': 'хуҗасыннан', 'description': {'V': 'хуҗасыннан', 'Arg(начальная точка)': 'ташучы'}, 'tags': ['O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(начальная точка)', 'V', 'O']}]","['–', 'Өстәлдә,', '-', 'дип', 'җавап', 'бирде', 'Матвей,', 'сорау', 'белән', 'карады,', 'баринга', 'һәм', 'бераз', 'көтеп,', 'хәйләкәр', 'елмаеп', 'куйды:', '–', 'ташучы', 'хуҗасыннан', 'килдек']",0.33
"[{'verb': 'алар', 'description': {'V': 'алар'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O']}]","['Степан', 'Аркадьич', 'бернәрсә', 'дә', 'җавап', 'бирмәде', 'һәм', 'көзгегә', 'генә', 'Матвейга', 'карады;', 'көзгедә', 'очрашкан', 'кыяфәтендә', 'алар', 'бер-берсен', 'ничек', 'аңлыйлар']",0.25
"[{'verb': 'диде', 'description': {'V': 'диде', 'Arg(говорящий)': 'ул,', 'Arg(адресат)': 'ул,', 'Arg(агенс)': 'куштым,', 'Arg(содержание высказывания)': 'гыйбарә', 'Arg(эталон)': 'куштым,'}, 'tags': ['O', 'Arg(говорящий)', 'O', 'O', 'O', 'Arg(агенс)', 'Arg(содержание высказывания)', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'V', 'Arg(говорящий)', 'O', 'O', 'Arg(содержание высказывания)']}]","['–Мин', 'ул', 'якшәмбе', 'көнне', 'килергә', 'куштым,', 'ә', 'сезне', 'һәм', 'үзегезне', 'бушка', 'борчымас', 'өчен,', '-', 'диде', 'ул,', 'күрәсең,', 'әзерләнгән', 'гыйбарә']",0.86
"[{'verb': '', 'description': {'Arg(агенс)': 'аны', 'Arg(стимул)': 'аны'}, 'tags': ['O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Телеграмманы', 'ертып,', 'ул', 'аны', 'укыды,', 'фаразлау', 'белән', 'үзгәртелгән', 'сүзләрне', 'төзәтте,', 'һәм', 'аның', 'йөзе', 'яктырды']",0.4
"[{'verb': 'арасында', 'description': {'V': 'арасында', 'Arg(говорящий)': '-', 'Arg(агенс)': '-', 'Arg(срок)': 'юлны', 'Arg(пациенс)': 'бакенбардлар'}, 'tags': ['V', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V', 'O', 'Arg(срок)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['-', 'Матвей,', 'Анна', 'Аркадьевнаның', 'сеңлесе', 'иртәгә', 'булачак,', '-', 'диде', 'ул,', 'озын', 'бөдрә', 'бакенбардлар', 'арасында', 'Алсу', 'юлны', 'чистарткан', 'бер', 'минутка', 'ялтыравыклы,', 'чиста', 'цирюльник', 'тоткасын', 'туктатып']",0.71
"[{'verb': '', 'description': {'Arg(предмет высказывания)': 'бу'}, 'tags': ['O', 'O', 'O', 'Arg(предмет высказывания)', 'O', 'O', 'Arg(предмет высказывания)', 'O', 'O', 'O', 'O', 'O', 'Arg(предмет высказывания)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['–', 'Аллага', 'шөкер,', '-', 'диде', 'Матвей,', 'бу', 'җавап', 'белән', 'барин', 'кебек', 'үк,', 'бу', 'килүнең', 'мәгънәсен,', 'ягъни', 'Степан', 'Аркадьевичның', 'яраткан', 'апасы', 'Анна', 'Аркадьевнаның', 'иренең', 'хатыны', 'белән', 'татулашуына', 'ярдәм', 'итә', 'алуын', 'күрсәтеп']",0.33
"[{'verb': '', 'description': {'Arg(место)': 'ирен', 'Arg(пациенс перемещения)': 'бармагы'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(место)', 'O', 'O', 'O', 'O', 'Arg(пациенс перемещения)']}]","['Степан', 'Аркадьич', 'алмады', 'сөйләшергә,', 'чөнки', 'комплекты', 'занят', 'югары', 'ирен', 'иде,', 'һәм', 'күтәрде', 'бер', 'бармагы']",0.4
"[{'verb': 'аңлады', 'description': {'V': 'аңлады'}, 'tags': ['O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'V', 'O']}]","['»', 'Сез', 'телисезме"",–', 'дип', 'аңлады', 'Матвей,', 'ләкин', 'ул', 'гына', 'әйтте:', '-', 'тыңлыйм']",0.25
"[{'verb': 'аяк', 'description': {'V': 'аяк', 'Arg(траектория)': 'йомшак'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(траектория)', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O']}]","['Степан', 'Аркадьич', 'юылган', 'һәм', 'таралган', 'иде', 'инде,', 'Матвей', 'кулында', 'телеграмма', 'белән', 'йомшак', 'келәм', 'буйлап', 'әкрен', 'генә', 'аяк', 'баскач,', 'киенергә', 'җыена']",0.33
